run_id,factor_1_correlation,factor_1_defining_sorts,factor_2_correlation,factor_2_defining_sorts,factor_3_correlation,factor_3_defining_sorts,factor_4_correlation,factor_4_defining_sorts,factor_5_correlation,factor_5_defining_sorts
3352152045,0.9466666667,18,0.8666666667,5,0.6600000000,9,0.0000000000,0,0.6666666667,8
2224692979,0.9333333333,14,0.8933333333,6,0.8866666667,7,0.3666666667,4,0.5466666667,2
2391566213,0.8733333333,22,0.7600000000,8,0.0000000000,0,0.0000000000,0,0.6000000000,11
3401755640,0.9133333333,9,0.8066666667,5,0.8933333333,7,0.2533333333,3,0.2066666667,8
1491845202,0.7066666667,12,0.7600000000,11,0.8200000000,14,0.0000000000,0,0.0000000000,0
364849647,0.8666666667,19,0.6133333333,5,0.8933333333,6,0.5733333333,9,0.0000000000,0
3579294671,0.7600000000,9,0.6466666667,6,0.6733333333,13,0.0000000000,0,0.4666666667,6
2766818331,0.8666666667,13,0.7666666667,9,0.7666666667,11,0.7866666667,6,0.0000000000,0
272875634,0.8600000000,6,0.4333333333,13,0.6466666667,4,0.7200000000,7,0.0266666667,5
1041259296,0.8200000000,12,0.8000000000,7,0.8400000000,6,0.7133333333,7,0.0000000000,0
2183156749,0.8866666667,14,0.8133333333,9,0.7333333333,8,0.7733333333,7,0.0000000000,0
1385660866,0.8466666667,12,0.6533333333,9,0.7266666667,10,0.7133333333,4,0.0000000000,0
1563448280,0.9066666667,10,0.5666666667,7,0.6800000000,8,0.0000000000,0,0.5866666667,13
2147646822,0.9266666667,13,0.7800000000,10,0.8733333333,10,0.0000000000,0,0.7733333333,6
198227995,0.7800000000,19,0.6933333333,5,0.7333333333,13,0.0000000000,0,0.0000000000,0
3931412318,0.8666666667,16,0.7333333333,7,0.8600000000,8,0.5266666667,7,0.0000000000,0
880394229,0.6866666667,4,0.7533333333,6,0.6533333333,13,0.5733333333,5,0.5000000000,6
1189543990,0.9333333333,21,0.5400000000,4,0.9133333333,10,0.6733333333,2,0.0000000000,1
1210776055,0.9533333333,18,0.7466666667,11,0.6266666667,4,0.4666666667,3,0.0000000000,0
4127316873,0.9133333333,21,0.7866666667,7,0.6866666667,5,0.0000000000,0,0.5466666667,6
992007455,0.7600000000,8,0.7133333333,7,0.7133333333,17,0.0000000000,0,0.0000000000,0
1749900522,0.9400000000,18,0.5866666667,5,0.5866666667,12,0.7666666667,6,0.0000000000,0
435073098,0.8200000000,14,0.7133333333,7,0.6466666667,10,0.6733333333,4,0.0000000000,0
3124007857,0.9533333333,20,0.8600000000,12,0.0000000000,0,0.7200000000,8,0.0000000000,0
2420269087,0.4066666667,6,0.7600000000,7,0.8800000000,7,0.6266666667,3,0.4666666667,12
3854283489,0.9333333333,17,0.4266666667,3,0.8400000000,4,0.2066666667,3,0.6533333333,5
1633728701,0.7200000000,6,0.7600000000,14,0.8333333333,9,0.6800000000,7,0.4533333333,4
843084210,0.9200000000,15,0.7466666667,3,0.2866666667,6,0.8400000000,7,0.5866666667,4
927758889,0.9333333333,20,0.6400000000,6,0.0000000000,0,0.8133333333,5,0.6600000000,8
2991722274,0.9333333333,25,0.9266666667,7,0.6333333333,11,0.0000000000,0,0.0000000000,0
2120163654,0.9200000000,18,0.8200000000,8,0.0000000000,0,0.4933333333,7,0.4266666667,3
2837880907,0.7800000000,5,0.5333333333,5,0.7333333333,10,0.7000000000,6,0.5000000000,8
1834431075,0.8200000000,14,0.5400000000,2,0.7200000000,4,0.4866666667,4,0.6866666667,10
4028569114,0.8933333333,14,0.7733333333,6,0.7333333333,5,0.4200000000,2,0.2066666667,3
263569578,0.9400000000,14,0.8000000000,11,0.7533333333,5,0.8133333333,9,0.0000000000,0
1458580664,0.9066666667,17,0.4933333333,7,0.7733333333,5,0.6266666667,6,0.0000000000,0
2324978933,0.8533333333,15,0.4533333333,4,0.4800000000,3,0.8600000000,4,0.5733333333,13
3165067665,0.9533333333,19,0.8200000000,6,0.5400000000,9,0.6733333333,7,0.0000000000,0
3054140334,0.8333333333,10,0.6133333333,8,0.7666666667,9,0.9133333333,6,0.0000000000,0
2682373157,0.6333333333,5,0.7933333333,10,0.7933333333,9,0.6466666667,11,0.0000000000,0
3147551190,0.8600000000,16,0.6000000000,8,0.7600000000,9,0.0000000000,0,0.0000000000,0
2548872857,0.9200000000,20,0.8266666667,6,0.2933333333,4,0.6600000000,9,0.0000000000,0
3061204970,0.9333333333,15,0.6066666667,10,0.7333333333,8,0.4666666667,4,0.0000000000,0
2298340037,0.9066666667,22,0.0000000000,0,0.7666666667,8,0.6733333333,8,0.0000000000,0
803846367,0.8466666667,13,0.0000000000,0,0.8066666667,11,0.7933333333,10,0.0000000000,0
2122268180,0.8266666667,13,0.4266666667,3,0.7333333333,19,0.0000000000,0,0.0000000000,0
1633088175,0.8266666667,12,0.7333333333,5,0.9000000000,8,0.0000000000,0,0.7266666667,5
642254666,0.6533333333,3,0.6933333333,5,0.7400000000,14,0.7733333333,10,0.5333333333,4
316821355,0.7000000000,10,0.4266666667,2,0.7466666667,12,0.7800000000,8,0.3133333333,2
3576791970,0.9066666667,16,0.9133333333,14,0.7933333333,9,0.0000000000,0,0.0000000000,0
1583927244,0.9333333333,17,0.6600000000,7,0.0000000000,0,0.8400000000,8,0.4466666667,4
705481473,0.9333333333,18,0.6866666667,7,0.0000000000,0,0.6466666667,6,0.3933333333,5
3271349141,0.9333333333,16,0.7000000000,7,0.3800000000,5,0.7333333333,10,0.0000000000,0
2243027259,0.8933333333,20,0.8666666667,11,0.0000000000,0,0.7533333333,9,0.0000000000,0
3127356802,0.8600000000,12,0.6800000000,7,0.9200000000,12,0.7733333333,8,0.0000000000,0
3028246539,0.8866666667,21,0.7466666667,9,0.0000000000,0,0.7000000000,8,0.0000000000,0
4081369262,0.9266666667,13,0.9200000000,9,0.0000000000,0,0.8266666667,6,0.3133333333,8
1235424430,0.9066666667,12,0.8266666667,9,0.8000000000,11,0.0000000000,0,0.0000000000,1
2918109279,0.9333333333,18,0.0000000000,0,0.6333333333,13,0.0000000000,0,0.5533333333,4
